Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Cytology in the time of coronavirus disease (covid-19): an Italian perspective,"Vigliar, Elena; Iaccarino, Antonino; Bruzzese, Dario; Malapelle, Umberto; Bellevicine, Claudio; Troncone, Giancarlo","INTRODUCTION: The coronavirus disease 2019 (covid-19) is changing the way we practice pathology, including fine needle aspiration (FNA) diagnostics. Although recommendations have been issued to prioritise patients at high oncological risk, postponing those with unsuspicious presentations, real world data have not been reported yet. METHODS: The percentages of the cytological sample types processed at the University of Naples Federico II, during the first 3 weeks of Italian national lockdown were compared with those of the same period in 2019. RESULTS: During the emergency, the percentage of cytology samples reported as malignant increased (p<0.001), reflecting higher percentages of breast (p=0.002) and lymph nodes FNAs (p=0.008), effusions (p<0.001) and urine (p=0.005). Conversely, thyroid FNAs (p<0.001) and Pap smears (p=0.003) were reduced. CONCLUSIONS: Even in times of covid-19 outbreak, cytological examination may be safely carried out in patients at high oncological risk, without the need to be postponed.",2020,,Journal of clinical pathology,,,,,10.1136/jclinpath-2020-206614,19385,#97450,Vigliar 2020,,,97450,22-04-20
Saliva as a non-invasive specimen for detection of SARS-CoV-2,"Williams, Eloise; Bond, Katherine; Zhang, Bowen; Putland, Mark; Williamson, Deborah A.",Diagnostic testing for COVID-19 is central to controlling the global pandemic. …,2020,,Journal of Clinical Microbiology,,,,,10.1128/jcm.00776-20,19569,#97451,Williams 2020,,,97451,22-04-20
Validation of the Hologic's Aptima Unisex and Multitest Specimen collection kits used for Endocervical and Male Urethral Swab Specimen (Aptima Swab) for sample collection of SARS-CoV-2,"Avaniss-Aghajani, E.; Sarkissian, A.; Fernando, F.; Avaniss-Aghajani, A.",Recent events have seen the rise of SARS-CoV-2 all across the world affecting the lives and economies of every nation.…,2020,,Journal of Clinical Microbiology,,,,,10.1128/jcm.00753-20,19544,#97456,Avaniss-Aghajani 2020,,,97456,22-04-20
Letter to the Editor: “Our Response to COVID-19 as Endocrinologists and Diabetologists”,"Kasuki, Leandro; Gadelha, Mônica R.",,2020,,The Journal of Clinical Endocrinology & Metabolism,,,,,10.1210/clinem/dgaa224,19315,#97461,Kasuki 2020,,,97461,22-04-20
A big data analysis on the five dimensions of emergency management information in the early stage of COVID-19 in China,"Huang, Hao; Peng, Zongchao; Wu, Hongtao; Xie, Qihui","The all-round and multilevel responses to the epidemic, with professional medical institutions, the governments and the public as the main agents of response and the media as the bridge of communication, are key to developing the public health emergency management system with regard to emerging infectious diseases and diseases with unknown etiology in the information age. This study creates an analysis framework concerning the five dimensions of information—the epidemic itself and the medical, governmental, public and media responses—and analyzes the evolution, interaction and trends of five dimensions using big data within the period of observation For the four dimensions other than the media response, the level of information related to the epidemic and the medical response is relatively high, while the level of response by medical institutions and the governments are similar, and both are higher than the public response. The media coverage of the epidemic remains at a high level of information. In relation to such diseases, the government should take the role of big data analytics seriously, lead a multi-agent social collaboration network, and further strengthen the ‘One Planning Plus Three Systems’ framework related to emergency management in China.",2020,,Journal of Chinese Governance,,,Jan-21,,10.1080/23812346.2020.1744923,19296,#97463,Huang 2020,,,97463,22-04-20
Fast Identification of Possible Drug Treatment of Coronavirus Disease -19 (COVID-19) Through Computational Drug Repurposing Study,"Wang, Junmei","The recent outbreak of novel coronavirus disease -19 (COVID-19) calls for and welcomes possible treatment strategies using drugs on the market. It is very efficient to apply computer-aided drug design techniques to quickly identify promising drug repurposing candidates, especially after the detailed 3D-structures of key virous proteins are resolved. The virus causing COVID-19 is SARS-Cov-2. Taking the advantage of a recently released crystal structure of SARS-Cov-2 main protease in complex with a covalently-bonded inhibitor, N3,1 I conducted virtual docking screening of approved drugs and drug candidates in clinical trials. For the top docking hits, I then performed molecular dynamics simulations followed by binding free energy calculations using an endpoint method called MM-PBSA-WSAS (Molecular Mechanics-Poisson Boltzmann Surface Area-Weighted Solvent-Accessible Surface Area).2-4 Several promising known drugs stand out as potential inhibitors of SARS-Cov-2 main protease, including Carfilzomib, Eravacycline, Valrubicin, Lopinavir and Elbasvir. Carfilzomib, an approved anti-cancer drug acting as a proteasome inhibitor, has the best MM-PBSA-WSAS binding free energy, -13.8 kcal/mol. The second-best repurposing drug candidate, eravacycline, is synthetic halogenated tetracycline class antibiotic. Streptomycin, another antibiotic and a charged molecule, also demonstrates some inhibitory effect, even though the predicted binding free energy of the charged form (-3.8 kcal/mol) is not nearly as low as that of the neutral form (-7.9 kcal/mol). One bioactive, PubChem 23727975, has a binding free energy of -12.9 kcal/mol. Detailed receptor-ligand interactions were analyzed and hot spots for the receptor-ligand binding were identified. I found that one hotspot residue HIS41, is a conserved residue across many viruses including SARS-Cov, SARS-Cov-2, MERS-Cov, and HCV. The findings of this study can facilitate rational drug design targeting the SARS-Cov-2 main protease.",2020,,Journal of chemical information and modeling,,,,,10.1021/acs.jcim.0c00179,19587,#97464,Wang 2020,,,97464,22-04-20
The Rapid Response to the COVID-19 Pandemic by the Arthroplasty Divisions at Two Academic Referral Centers,"Pelt, Christopher E.; Campbell, Kevin L.; Gililland, Jeremy M.; Anderson, Lucas A.; Peters, Christopher L.; Barnes, C. Lowry; Edwards, Paul K.; Mears, Simon C.; Stambough, Jeffrey B.","The COVID-19 pandemic has created widespread changes across all of healthcare. The impacts on the delivery of orthopaedic services has been challenged as a result. In order to ensure and provide for adequate health care resources in terms of hospital capacity, personnel and personal protective equipment (PPE), service lines such as adult reconstruction and lower limb arthroplasty have stopped or substantially limited elective surgeries and have been forced to re-engineer care processes for a high-volume of patients. Herein, we summarize the similar approaches by two arthroplasty divisions in high volume academic referral centers in 1) the cessation of elective surgeries, 2) workforce restructuring, 3) phased delivery of outpatient and inpatient care, and 4) educational restructuring.",2020,,The Journal of Arthroplasty,,,,,https://doi.org/10.1016/j.arth.2020.04.030,19304,#97471,Pelt 2020,,,97471,22-04-20
Contingency planning in the clinical laboratory: lessons learned amidst COVID-19,"Chambliss, Allison B.; Tolan, Nicole V.",,2020,,The Journal of Applied Laboratory Medicine,,,,,10.1093/jalm/jfaa068,19482,#97472,Chambliss 2020,,,97472,22-04-20
COVID-19 in children: an epidemiology study from China,"Wang, Evelyn; Brar, Kanwaljit",,2020,,The Journal of Allergy and Clinical Immunology: In Practice,,,,,https://doi.org/10.1016/j.jaip.2020.04.024,19513,#97476,Wang 2020,,,97476,22-04-20
Resorting to mathematical modelling approach to contain the coronavirus disease 2019 (COVID-19) outbreak,"Shrivastava, S.; Shrivastava, P.",,2020,,Journal of Acute Disease,9,2,49-50,,10.4103/2221-6189.281311,20096,#97481,Shrivastava 2020,,,97481,22-04-20
Minimizing the risk of international spread of coronavirus disease 2019 (COVID-19) outbreak by targeting travelers,"Shrivastava, S.; Shrivastava, P.","The Coronavirus Disease-2019 (COVID-19) outbreak has become a global health emergency owing to its magnitude, attributed deaths, and its propensity to spread across the world. In-fact, owing to its quick spread across international boundaries and the resulting caseload, the disease has been declared as a Public Health Emergency of International Concern on 30 January 2020. It is worth noting that out of the 395 cases detected in other nations, 165 (41.8%) have a positive history of travel to China. As of now, the World Health Organization has not recommended for any restrictions on the travel or trade aspects, but has clearly specified that implementation of International Health Regulations should be strictly done at the airports and seaports. In conclusion, the COVID- 19 outbreak has created an alarm across the globe as the causative virus is novel in nature. However, strengthening of standard infection control practices and adoption of preventive measures for travelers can significantly minimize the threat of further transmission of the disease.",2020,,Journal of Acute Disease,9,2,47-48,,10.4103/2221-6189.278654,20095,#97482,Shrivastava 2020,,,97482,22-04-20
"Detection of SARS-CoV-2 RNA and antibodies in diverse samples: Protocol to validate the sufficiency of provider-observed home-collected blood, saliva and oropharyngeal samples","Sullivan, Patrick Sean; Sailey, Charles; Guest, Jodie Lynn; Guarner, Jeannette; Siegler, Aaron Julius; Valentine-Graves, Mariah; Gravens, Laura; Del Rio, Carlos; Sanchez, Travis Howard","UNSTRUCTURED: Background: The US response to the SARS-CoV-2 epidemic has been hampered by a lack of aggressive testing for infection. Testing for SARS-CoV-2 infection is the cornerstone of an effective public health response. However, efforts to test have been hampered by limited reagents, limitations in the availability of swabs used for collection of nasopharyngeal swab (NPS) specimens, limitations in personal protective equipment (PPE) for healthcare providers collecting the NPS specimens, and limitations in viral transport media for transporting the specimens. Therefore, more flexible options for screening for SARS-CoV-2 RNA and serologic responses are critical to inform clinical and public health responses. Objective: We aim to document the ability of patients to self-collect specimens for SARS-CoV-2 viral detection and serology. Methods: In this protocol, patient collection of samples will be done with observation by a provider during a telemedicine session. Participants will be mailed a specimen collection kit, engage in a telehealth session with a healthcare provider through a HIPPA-compliant video meeting, and collect specimens while observed by the provider. Providers will record whether they are confident in the sufficiency of the specimen for laboratory testing that would inform clinical decision making. We will objectively assess the laboratory evidence of sufficient biological material in the mailed-in specimens. Conclusions: Defining a conceptual framework for assessing the sufficiency of patient-collected samples for the detection of SARS-CoV-2 RNA and serologic responses to infection is critical for facilitating public health responses and providing PPE-sparing options to increase testing. Validation of alternative specimen collection should include objective measures of the sufficiency of specimens for testing. A strong evidence base for diversifying testing modalities will improve the tools to guide public health responses to the COVID-19 epidemic.",2020,,JMIR Public Health Surveill,,,,32310815,10.2196/19054,20329,#97485,Sullivan 2020,,,97485,22-04-20
Data Mining and Content Analysis of the Chinese Social Media Platform Weibo During the Early COVID-19 Outbreak: Retrospective Observational Infoveillance Study,"Li, Jiawei; Xu, Qing; Cuomo, Raphael; Purushothaman, Vidya; Mackey, Tim","BACKGROUND: The coronavirus disease (COVID-19) pandemic, which began in Wuhan, China in December 2019, is rapidly spreading worldwide with over 1.9 million cases as of mid-April 2020. Infoveillance approaches using social media can help characterize disease distribution and public knowledge, attitudes, and behaviors critical to the early stages of an outbreak. OBJECTIVE: The aim of this study is to conduct a quantitative and qualitative assessment of Chinese social media posts originating in Wuhan City on the Chinese microblogging platform Weibo during the early stages of the COVID-19 outbreak. METHODS: Chinese-language messages from Wuhan were collected for 39 days between December 23, 2019, and January 30, 2020, on Weibo. For quantitative analysis, the total daily cases of COVID-19 in Wuhan were obtained from the Chinese National Health Commission, and a linear regression model was used to determine if Weibo COVID-19 posts were predictive of the number of cases reported. Qualitative content analysis and an inductive manual coding approach were used to identify parent classifications of news and user-generated COVID-19 topics. RESULTS: A total of 115,299 Weibo posts were collected during the study time frame consisting of an average of 2956 posts per day (minimum 0, maximum 13,587). Quantitative analysis found a positive correlation between the number of Weibo posts and the number of reported cases from Wuhan, with approximately 10 more COVID-19 cases per 40 social media posts (P<.001). This effect size was also larger than what was observed for the rest of China excluding Hubei Province (where Wuhan is the capital city) and held when comparing the number of Weibo posts to the incidence proportion of cases in Hubei Province. Qualitative analysis of 11,893 posts during the first 21 days of the study period with COVID-19-related posts uncovered four parent classifications including Weibo discussions about the causative agent of the disease, changing epidemiological characteristics of the outbreak, public reaction to outbreak control and response measures, and other topics. Generally, these themes also exhibited public uncertainty and changing knowledge and attitudes about COVID-19, including posts exhibiting both protective and higher-risk behaviors. CONCLUSIONS: The results of this study provide initial insight into the origins of the COVID-19 outbreak based on quantitative and qualitative analysis of Chinese social media data at the initial epicenter in Wuhan City. Future studies should continue to explore the utility of social media data to predict COVID-19 disease severity, measure public reaction and behavior, and evaluate effectiveness of outbreak communication.",2020,,JMIR Public Health Surveill,,,,32293582,10.2196/18700,21399,#97491,Li 2020,,,97491,22-04-20
The Role of YouTube and the Entertainment Industry in Saving Lives by Educating and Mobilizing the Public to Adopt Behaviors for Community Mitigation of COVID-19: Successive Sampling Design Study,"Basch, Charles E.; Basch, Corey H.; Hillyer, Grace C.; Jaime, Christie","BACKGROUND: Effective community mitigation through voluntary behavior change is currently the best way to reduce mortality caused by coronavirus disease (COVID-19). This study builds on our prior study based on the scientific premise that YouTube is one of the most effective ways to communicate and mobilize the public in community mitigation to reduce exposure to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). OBJECTIVE: Because of the rapidly changing nature of YouTube in the context of the COVID-19 pandemic, we conducted a follow-up study to document how coverage of preventive behaviors for effective community mitigation has changed. METHODS: A successive sampling design was used to compare coverage of behaviors to mitigate community transmission of COVID-19 in the 100 most widely viewed YouTube videos in January 2020 and March 2020. RESULTS: Videos in the January and March samples were viewed >125 million times and >355 million times, respectively. Fewer than half of the videos in either sample covered any of the prevention behaviors recommended by the US Centers for Disease Control and Prevention, but many covered key prevention behaviors and were very widely viewed. There were no videos uploaded by entertainment television in the January sample, but this source comprised the majority of videos and garnered the majority of cumulative views in the March sample. CONCLUSIONS: This study demonstrates the incredible reach of YouTube and the potential value of partnership with the entertainment industry for communicating and mobilizing the public about community mitigation to reduce mortality from the COVID-19 viral pandemic.",2020,,JMIR public health and surveillance,6,2,e19145-e19145,,10.2196/19145,19546,#97503,Basch 2020,,,97503,22-04-20
"COVID-19 mobile positioning surveillance and contact tracing, and patient privacy","Ekong, Iniobong; Chukwu, Emeka; Chukwu, Martha","BACKGROUND: The coronavirus disease pandemic is the biggest global economic and health challenge of the century. Its effect and impact are still evolving with deaths estimated to reach 40 million if not checked. One effective and complementary strategy to slow the spread and reduce the impact is to trace primary and secondary contacts using technology. OBJECTIVE: The objective of this paper is to survey strategies for digital contact tracing for COVID-19 pandemic and to present how using mobile positioning data conforms with Nigeria's data privacy regulations. METHODS: We conducted an exploratory review of current measures for COVID-19 contact tracing globally. We then analyzed how countries are using mobile positioning data technology in handling the COVID 19 pandemic spread. We made recommendations for how Nigeria can adopt this approach in context of Nigeria's Data protection Regulation (NDPR). RESULTS: Despite the potentials, digital contact tracing always comes in conflict with patient data privacy regulations. We found that Nigeria's response complies with the NDPR, and that it is possible to leverage telecommunications call detail registry (CDR) to complement current strategies within the NDPR regulation. CONCLUSIONS: Our study show that mobile position data contact tracing is important for epidemic control as long as it conforms to relevant data privacy regulation. Implementation guideline will limit data misuse.",2020,,JMIR Mhealth Uhealth,,,,32310817,10.2196/19139,20327,#97508,Ekong 2020,,,97508,22-04-20
Economic Impacts of the COVID-19 Crisis: An Orthopaedic Perspective,"Anoushiravani, Afshin A.; O’Connor, Casey M.; DiCaprio, Matthew R.; Iorio, Richard",,9000,,JBJS,Latest Articles,,,00004623-900000000-99749,10.2106/jbjs.20.00557,19716,#97521,Anoushiravani 9000,,,97521,22-04-20
Imaging characteristics of initial chest computed tomography and clinical manifestations of patients with COVID-19 pneumonia,"Fan, Na; Fan, WenHui; Li, Zhen; Shi, Min; Liang, Yi","To investigate the chest CT imaging characteristics and clinical manifestations of patients with COVID-19 pneumonia. This study included 150 patients with COVID-19 pneumonia diagnosed from January 10 to February 12, 2020 to analyze their clinical and CT imaging characteristics. The period between symptom onset and initial CT examination ranged from 1 to 8 days. There were 83 cases (55.33%) involving both lungs, 67 cases (44.67%) involving a single lung (left 25 cases and right 42 cases). There were 49 cases (32.67%) of single intrapulmonary lesion, 33 cases (22.00%) of multiple intrapulmonary lesions, 68 cases (44.00%) of diffused intrapulmonary lesions, 67 cases (44.67%) of subpleural lesions, 24 cases (16.00%) of lesions localizing along the bronchovascular bundles, and 59 cases (39.33%) with lesions in both locations. There were 18 cases (12.00%) exhibiting ground-glass nodules of < 10 mm, 124 cases (82.67%) of patchy ground-glass opacities with or without consolidation, 8 cases (5.33%) of cord-like lesions, 6 cases (4.00%) of pleural effusion, and 2 cases (1.33%) of enlarged lymph nodes. The main manifestations of initial chest CT in COVID-19 pneumonia patients was ground-glass opacities, commonly involving single site in patients < 35 years old and multiple sites and extensive area in patients > 60 years old. The common lesion sites were the subpleural region and the posterior basal segments of the lower lobes, mostly showing thickening of the interlobular septum and mixed with consolidation.",2020,,Japanese Journal of Radiology 2020,,,01-Jun,,10.1007/S11604-020-00973-X,19653,#97522,Fan 2020,,,97522,22-04-20
Maternal health care management during the outbreak of coronavirus disease 2019,"Chen, Yu; Li, Zhe; Zhang, Yuan-Yuan; Zhao, Wei-Hua; Yu, Zhi-Ying","Coronavirus disease 2019 (COVID-19) is a novel type of highly contagious pneumonia caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Despite the strong efforts taken to control the epidemic, hundreds of thousands of people were infected worldwide by 11 March, and the situation was characterized as a pandemic by the World Health Organization. Pregnant women are more susceptible to viral infection due to immune and anatomic alteration, though hospital visits may increase the chance of infection, the lack of medical care during pregnancy may do more harm. Hence, a well-managed system that allows pregnant women to access maternal health care with minimum exposure risk is desired during the outbreak. Here, we present the managing processes of three pregnant women who had fever during hospitalization in the gynecology or obstetrics department, and then, we further summarize and demonstrate our maternal health care management strategies including antenatal care planning, patient triage based on the risk level, admission control, and measures counteracting emergencies and newly discovered high-risk cases at in-patient department. In the meantime, we will explain the alterations we have done throughout different stages of the epidemic and also review relative articles in both Chinese and English to compare our strategies with those of other areas. Although tens of COVID-19 cases were confirmed in our hospital, no nosocomial infection has occurred and none of the pregnant women registered in our hospital was reported to be infected.",2020,,J Med Virol,,,,32219871,10.1002/jmv.25787,24234,#97647,Chen 2020,,,97647,22-04-20
The impact of video-mediated communication on closed wound assessments in post-operative consultations: a conversation analytical study of video-mediated and co-present consultations,"Stommel, Wyke; van Goor, Harry; Stommel, Martijn","BACKGROUND: Research on the use of video-mediated technology for medical consultation is increasing rapidly and accelerated by the COVID-19 pandemic. Most research in this area is based on questionnaires and focuses on long-term conditions. The few studies that focused on physical examination in video consultations indicated that it poses challenges for the participants. The specific activity of wound assessment through video in post-surgery consultations has never been studied yet. Also, comparative analysis of the face-to-face and video-setting on the moment-to-moment organization of such an activity is original. OBJECTIVE: The objective of our study was to examine the impact of video technology on the workings of assessments of post-surgery wounds and its limits. METHODS: We recorded 22 post-operative video consultations and 17 post-operative face-to-face consultations. The primary purpose of the consultation was informing the patient about the final pathology results of the resected specimen and the secondary purpose was checking on the patient's recovery, including an assessment of the closed wound. The recordings were transcribed in detail and analyzed using methods of Conversation Analysis. RESULTS: The way in which an assessment of the wound is established in video consultations differs from the procedure in face-to-face consultations. In the consultation room, wound assessments overwhelmingly (15 out of 17) involve wound showings in the context of which surgeons report their observations formatted with evidentials (""looks neat"") and subsequently assess what these observations imply or what can be concluded from them. In contrast, wound assessments in video consultations do not tend to involve showing the wound (3 out of 22) and, given the technological restrictions, do not involve palpation. Rather, the surgeon invites the patient to assess the wound, which opens up a sequence of patient and physician assessments in which diagnostic criteria like redness or swollenness are made explicit. In contrast to observations in regular consultations, these assessments are characterized by epistemic markers of uncertainty (""I think"", ""sounds... good"") and evidentials are absent. Even in case of a potential wound problem, the surgeon may reside in questioning the patient rather than requesting a showing. CONCLUSIONS: The impact of the video technology on post-operative consultations is that a conclusive wound assessment is arrived at in a different way compared to face-to-face consultations. In video consultations, physicians inquire and patients provide their own, ""lay"" observations, which serve as the basis for the assessment. This means that in video consultations patients have a fundamentally different role. These talking-based assessments are effective unless, in case of a potential problem, patient answers seem insufficient and a showing might be beneficial. The findings are expected to be generalizable to other healthcare areas, e.g., dermatology, physiotherapy. CLINICALTRIAL:",2020,,J Med Internet Res,,,,32310816,10.2196/17791,20328,#97669,Stommel 2020,,,97669,22-04-20
Pediatric Surgery in the Time of COVID-19,"Wulkan, Mark L.",,2020,,J Laparoendosc Adv Surg Tech A,,,,32310735,10.1089/lap.2020.29031.mlw,20330,#97683,Wulkan 2020,,,97683,22-04-20
"Active constituents and mechanisms of Respiratory Detox Shot, a traditional Chinese medicine prescription, for COVID-19 control and prevention: Network-molecular docking-LC-MS(E) analysis","Zhang, Zi-Jia; Wu, Wen-Yong; Hou, Jin-Jun; Zhang, Lin-Lin; Li, Fei-Fei; Gao, Lei; Wu, Xing-Dong; Shi, Jing-Ying; Zhang, Rong; Long, Hua-Li; Lei, Min; Wu, Wan-Ying; Guo, De-An; Chen, Kai-Xian; Hofmann, Lewis A.; Ci, Zhong-Hua","OBJECTIVE: Lung-toxin Dispelling Formula No. 1, referred to as Respiratory Detox Shot (RDS), was developed based on a classical prescription of traditional Chinese medicine (TCM) and the theoretical understanding of herbal properties within TCM. Therapeutic benefits of using RDS for both disease control and prevention, in the effort to contain the coronavirus disease 2019 (COVID-19), have been shown. However, the biochemically active constituents of RDS and their mechanisms of action are still unclear. The goal of the present study is to clarify the material foundation and action mechanism of RDS. METHODS: To conduct an analysis of RDS, an integrative analytical platform was constructed, including target prediction, protein-protein interaction (PPI) network, and cluster analysis; further, the hub genes involved in the disease-related pathways were identified, and the their corresponding compounds were used for in vitro validation of molecular docking predictions. The presence of these validated compounds was also measured in samples of the RDS formula to quantify the abundance of the biochemically active constituents. In our network pharmacological study, a total of 26 bioinformatic programs and databases were used, and six networks, covering the entire Zang-fu viscera, were constructed to comprehensively analyze the intricate connections among the compounds-targets-disease pathways-meridians of RDS. RESULTS: For all 1071 known chemical constituents of the nine ingredients in RDS, identified from established TCM databases, 157 passed drug-likeness screening and led to 339 predicted targets in the constituent-target network. Forty-two hub genes with core regulatory effects were extracted from the PPI network, and 134 compounds and 29 crucial disease pathways were implicated in the target-constituent-disease network. Twelve disease pathways attributed to the Lung-Large Intestine meridians, with six and five attributed to the Kidney-Urinary Bladder and Stomach-Spleen meridians, respectively. One-hundred and eighteen candidate constituents showed a high binding affinity with SARS-coronavirus-2 3-chymotrypsin-like protease (3CL(pro)), as indicated by molecular docking using computational pattern recognition. The in vitro activity of 22 chemical constituents of RDS was validated using the 3CL(pro) inhibition assay. Finally, using liquid chromatography mass spectrometry in data-independent analysis mode, the presence of seven out of these 22 constituents was confirmed and validated in an aqueous decoction of RDS, using reference standards in both non-targeted and targeted approaches. CONCLUSION: RDS acts primarily in the Lung-Large Intestine, Kidney-Urinary Bladder and Stomach-Spleen meridians, with other Zang-fu viscera strategically covered by all nine ingredients. In the context of TCM meridian theory, the multiple components and targets of RDS contribute to RDS's dual effects of health-strengthening and pathogen-eliminating. This results in general therapeutic effects for early COVID-19 control and prevention.",2020,,J Integr Med,,,,32307268,10.1016/j.joim.2020.03.004,20428,#97719,Zhang 2020,,,97719,22-04-20
"[Practitioners specialized in oral health and coronavirus disease 2019: Professional guidelines from the French society of stomatology, maxillofacial surgery and oral surgery, to form a common front against the infectious risk]",,,2020,,J Stomatol Oral Maxillofac Surg,,,,32307086,10.1016/j.jormas.2020.03.012,20447,#97789,,,,97789,22-04-20
The clinical characteristics of myocardial injury in severe and very severe patients with 2019 novel coronavirus disease,"Zhou, Bo; She, Jianqing; Wang, Yadan; Ma, Xiancang",,2020,,J Infect,,,,32209382,10.1016/j.jinf.2020.03.021,24482,#97807,Zhou 2020,,,97807,22-04-20
Disinfection of N95 respirators by ionized hydrogen peroxide during pandemic coronavirus disease 2019 (COVID-19) due to SARS-CoV-2,"Cheng, V. C. C.; Wong, S. C.; Kwan, G. S. W.; Hui, W. T.; Yuen, K. Y.",,2020,,J Hosp Infect,,,,32277965,10.1016/j.jhin.2020.04.003,22219,#97871,Cheng 2020,,,97871,22-04-20
CT imaging of the COVID-19,"Zhang, Feng-Yan; Qiao, Ying; Zhang, Hui","COVID-19 pneumonia presented with certain characteristic chest CT imaging features, which are helpful to the radiologist in the early detection and diagnosis of this emerging global health emergency. In this report, we present chest CT findings from five patients with COVID-19. Except for one case with normal lung appearance, all the other four cases had certain characteristics, including ground-glass opacity (GGO), consolidation and atoll sign. The lesions were mainly distributed in the peripheral portion of lung.",2020,,J Formos Med Assoc,,,,32307320,10.1016/j.jfma.2020.04.006,20423,#97917,Zhang 2020,,,97917,22-04-20
Clinical characteristics and diagnostic challenges of pediatric COVID-19: A systematic review and meta-analysis,"Chang, Tu-Hsuan; Wu, Jhong-Lin; Chang, Luan-Yin","BACKGROUND/PURPOSE: Current studies on pediatric coronavirus disease 2019 (COVID-19) are rare. The clinical characteristics and spectrum are still unknown. Facing this unknown and emerging pathogen, we aimed to collect current evidence about COVID-19 in children. METHODS: We performed a systematic review in PubMed and Embase to find relevant case series. Because some reports were published in Chinese journals, the journals and publications of the Chinese Medical Association related to COVID-19 were completely reviewed. A random effects model was used to pool clinical data in the meta-analysis. RESULTS: Nine case series were included. In the pooled data, most of patients (75%) had a household contact history. The disease severity was mainly mild to moderate (98%). Only 2 children (2%) received intensive care. Fever occurred in 59% of the patients, while cough in 46%. Gastrointestinal symptoms (12%) were uncommon. There are 26% children are asymptomatic. The most common radiographic finding was ground glass opacities (48%). Currently, there is no evidence of vertical transmission to neonates born to mothers with COVID-19. Compared with the most relevant virus, SARS-CoV, SARS-CoV-2 causes less severe disease. CONCLUSION: COVID-19 has distinct features in children. The disease severity is mild. Current diagnosis is based mainly on typical ground glass opacities on chest CT, epidemiological suspicion and contact tracing.",2020,,J Formos Med Assoc,,,,32307322,10.1016/j.jfma.2020.04.007,20422,#97927,Chang 2020,,,97927,22-04-20
"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China","Zhang, Guqin; Hu, Chang; Luo, Linjie; Fang, Fang; Chen, Yongfeng; Li, Jianguo; Peng, Zhiyong; Pan, Huaqin","BACKGROUND: In late December 2019, an outbreak of acute respiratory illness, coronavirus disease 2019 (COVID-19), emerged in Wuhan, China. We aimed to study the epidemiology, clinical features and short-term outcomes of patients with COVID-19 in Wuhan, China. METHODS: We performed a single center, retrospective case series study in 221 patients with laboratory confirmed SARS-CoV-2 pneumonia at a university hospital, including 55 severe patients and 166 non-severe patients, from January 2, 2020 to February 10, 2020. RESULTS: Of the 221 patients with COVID-19, the median age was 55.0 years and 48.9% were male and only 8 (3.6%) patients had a history of exposure to the Huanan Seafood Market. Compared to the non-severe pneumonia patients, the median age of the severe patients was significantly older, and they were more likely to have chronic comorbidities. Most common symptoms in severe patients were high fever, anorexia and dyspnea. On admission, 33.0% patients showed leukopenia and 73.8% showed lymphopenia. In addition, the severe patients suffered a higher rate of co-infections with bacteria or fungus and they were more likely to developing complications. As of February 15, 2020, 19.0% patients had been discharged and 5.4% patients died. 80% of severe cases received ICU (intensive care unit) care, and 52.3% of them transferred to the general wards due to relieved symptoms, and the mortality rate of severe patients in ICU was 20.5%. CONCLUSIONS: Patients with elder age, chronic comorbidities, blood leukocyte/lymphocyte count, procalcitonin level, co-infection and severe complications might increase the risk of poor clinical outcomes.",2020,,J Clin Virol,,,,32311650,10.1016/j.jcv.2020.104364,20261,#98040,Zhang 2020,,,98040,22-04-20
What Has the COVID-19 Pandemic Taught Us so Far? Addressing the Problem from a Hepatologist's Perspective,"Mendez-Sanchez, Nahum; Valencia-Rodriguez, Alejandro; Qi, Xingshun; Yoshida, Eric M.; Romero-Gomez, Manuel; George, Jacob; Eslam, Mohammed; Abenavoli, Ludovico; Xie, Weifen; Teschke, Rolf; Carrion, Andres F.; Keaveny, Andrew P.",,2020,,J Clin Transl Hepatol,,,,32309152,10.14218/JCTH.2020.00024,20368,#98048,Mendez-Sanchez 2020,,,98048,22-04-20
